date,close,volume,open,high,low
2010/05/13,66.48,7800677,67.02,67.08,66.46
2010/05/14,66.07,9731735,66.41,66.6,65.77
2010/05/17,66.75,6943744,66.11,66.96,66.07
2010/05/18,66.53,7237110,66.92,67.3,66.4
2010/05/19,66.04,7867739,66.3,66.38,65.5
2010/05/20,63.86,11587110,65.23,65.23,63.86
2010/05/21,63.58,14586380,63.21,63.64,62.14
2010/05/24,63.32,6333924,63.09,64.012,62.6
2010/05/25,62.89,9156870,61.93,62.92,61.65
2010/05/26,61.23,15151910,63.06,63.06,61.04
2010/05/27,62.9,9427250,61.97,62.93,61.522
2010/05/28,62.89,7545063,62.92,63.46,62.7258
2010/06/01,62.76,7179824,62.66,63.59,61.9
2010/06/02,63.46,10021010,62.6,63.46,61.83
2010/06/03,63.37,6448378,63.5,63.65,63
2010/06/04,61.44,10263430,62.46,62.46,61.29
2010/06/07,61.73,7694092,61.37,62.56,61.29
2010/06/08,62.65,7538206,61.44,62.8,61.4
2010/06/09,62.49,7055201,62.86,63.07,62.33
2010/06/10,63.84,6567715,63.03,63.9,63.03
2010/06/11,63.56,5465684,63.5,63.56,62.94
2010/06/14,63.85,4941710,63.9,64.23,63.24
2010/06/15,64.24,6248814,63.88,64.29,63.835
2010/06/16,63.91,5959954,63.79,64.05,63.56
2010/06/17,64.49,5179446,63.96,64.56,63.75
2010/06/18,64.08,8947550,64.61,64.67,64.03
2010/06/21,64.02,5158467,64.54,64.79,63.74
2010/06/22,63.3,5978736,64.03,64.25,63.18
2010/06/23,62.73,6516612,63.22,63.22,62.31
2010/06/24,62.4,6184699,62.37,62.99,62.25
2010/06/25,60.77,22917340,62.49,62.49,60.77
2010/06/28,61.96,8532206,61.12,62.17,61
2010/06/29,61.23,9054650,61.46,61.77,60.89
2010/06/30,60.95,8760291,61.28,61.73,60.5
2010/07/01,61.52,10851920,61.13,61.66,60.32
2010/07/02,61.53,5986998,61.54,62.15,61.38
2010/07/06,61.64,6946917,61.74,61.89,60.95
2010/07/07,62.93,7295167,61.6,63.08,61.27
2010/07/08,64,6660113,63.21,64,62.91
2010/07/09,63.5,5020379,64.03,64.11,63.3
2010/07/12,63.74,4208139,63.25,63.75,63.05
2010/07/13,63.43,7311443,64.25,64.26,63.35
2010/07/14,63.56,5687463,63.23,63.7,63.06
2010/07/15,63.16,8122146,63.58,63.71,62.99
2010/07/16,62.45,9507598,63.05,63.53,62.24
2010/07/19,62.05,5967788,62.39,62.52,62
2010/07/20,64.73,11239460,61.77,64.87,61.71
2010/07/21,63.95,8690144,64.78,64.98,63.67
2010/07/22,64.21,7032028,64.46,64.86,64
2010/07/23,64.45,5187656,64.05,64.75,64.05
2010/07/26,64.98,4028615,64.36,65.03,64.19
2010/07/27,65.69,6031854,65.3,65.79,64.71
2010/07/28,65.2,4320050,65.51,65.69,65
2010/07/29,64.89,5579155,65.33,65.5881,64.71
2010/07/30,64.91,5337344,64.45,65.18,64.31
2010/08/02,65.27,6479650,65.47,65.47,64.88
2010/08/03,65.77,5577011,65.11,65.92,65
2010/08/04,66.17,6663732,65.72,66.35,65.37
2010/08/05,65.58,5143040,65.68,65.87,65.06
2010/08/06,65.9,5499632,65.13,65.97,65.13
2010/08/09,66.42,5491964,66,66.6,65.93
2010/08/10,66.53,7410961,66.05,66.83,66
2010/08/11,65.45,5540344,65.98,66.07,65.45
2010/08/12,65.18,4924638,64.91,65.35,64.78
2010/08/13,65.56,4516670,65.07,65.71,64.86
2010/08/16,65.43,3564424,65.3,65.5,64.8
2010/08/17,65.55,4357141,65.68,66,65.22
2010/08/18,65.52,3855773,65.66,65.84,65.25
2010/08/19,64.66,4546912,65.5,65.52,64.26
2010/08/20,64.8,5653662,64.3,65.28,64.3
2010/08/23,64.82,3151872,65.14,65.4,64.78
2010/08/24,64.78,5442905,64.5,65.24,64.21
2010/08/25,64.57,5322391,64.37,64.845,64.2
2010/08/26,64.13,4505447,64.82,64.82,63.85
2010/08/27,64.12,5226719,64.2,64.47,63.38
2010/08/30,63.6,3697849,64.09,64.43,63.6
2010/08/31,64.18,6624751,63.49,64.335,63.18
2010/09/01,64.89,6382060,64.52,65.05,64.52
2010/09/02,64.97,4158389,64.97,65.31,64.52
2010/09/03,65.57,5862557,65.11,65.71,65.11
2010/09/07,65.48,5284606,65.1,66.01,65.1
2010/09/08,65.43,4318862,65.44,65.7,65.26
2010/09/09,66.1,5835753,65.9,66.21,65.42
2010/09/10,66.41,4233071,66.15,66.5,65.86
2010/09/13,66.25,4468994,66.45,66.52,65.85
2010/09/14,65.98,4145072,66.17,66.36,65.93
2010/09/15,66.5,4658999,65.83,66.54,65.76
2010/09/16,66.61,4174841,66.4,66.66,66.17
2010/09/17,66.12,7908308,66.76,66.9,66.1
2010/09/20,66.89,5057062,66.26,66.98,66.05
2010/09/21,66.46,7455414,66.91,66.91,65.93
2010/09/22,66.66,5223464,66.63,66.9,66.31
2010/09/23,65.79,5868690,66.19,66.19,65.66
2010/09/24,66.13,6366113,66.1,66.41,65.83
2010/09/27,66.37,5229594,66.07,66.76,66.06
2010/09/28,66.78,5305301,66.35,66.91,65.81
2010/09/29,66.75,5553187,66.54,67,66.23
2010/09/30,66.44,7003234,66.95,67.31,66.25
2010/10/01,67,5396924,66.76,67,66.28
2010/10/04,66.87,4890061,66.99,66.99,66.52
2010/10/05,67.76,7246038,67.03,67.82,66.91
2010/10/06,68.11,7204070,67.55,68.11,67.4
2010/10/07,66.1,20015550,66.6,66.7,65.18
2010/10/08,65.75,8810304,66.13,66.15,65.27
2010/10/11,65.52,5283001,65.74,65.76,65.3
2010/10/12,66.08,7807687,65.29,66.47,65
2010/10/13,66.4,5990236,66.31,66.8,66.2
2010/10/14,66.64,6162244,66.45,66.84,66.45
2010/10/15,66.68,6271464,66.89,67,66.4599
2010/10/18,66.5,4820057,66.82,67.02,66.48
2010/10/19,65.41,8357618,66.06,66.22,64.95
2010/10/20,64.97,11569390,65.7,65.82,64.87
2010/10/21,65.18,8647364,65.02,65.47,64.82
2010/10/22,65.01,5042924,65.24,65.5,64.85
2010/10/25,65.05,6580594,65.18,65.33,64.88
2010/10/26,64.79,6900791,64.8,64.99,64.55
2010/10/27,64.27,7961626,64.5,64.51,63.78
2010/10/28,65.01,6436072,64.37,65.12,64.35
2010/10/29,65.3,5549357,65.07,65.3,64.86
2010/11/01,65.55,5916575,65.49,65.89,65.14
2010/11/02,65.8,4670769,65.77,66.1,65.66
2010/11/03,65.2,7560024,65.72,65.75,64.58
2010/11/04,65.35,9976036,65.74,65.83,64.5
2010/11/05,65.08,6940980,65.26,65.35,64.76
2010/11/08,65.11,5518509,65,65.31,64.75
2010/11/09,65.3,6301225,65.33,65.42,64.8
2010/11/10,65.25,7065762,65.04,65.39,64.62
2010/11/11,64.9,4741303,64.98,65.22,64.7
2010/11/12,64.64,4913980,64.63,64.9,64.37
2010/11/15,64.42,5532956,64.86,64.97,64.36
2010/11/16,64.04,8032552,64.28,65,63.825
2010/11/17,63.94,5016623,64.12,64.24,63.72
2010/11/18,64.77,6988536,64,64.99,63.61
2010/11/19,64.71,5510898,64.42,64.71,64.27
2010/11/22,64.7,4577863,64.76,64.85,64.17
2010/11/23,63.89,7198340,64.11,64.24,63.59
2010/11/24,64.33,5270111,64.2,64.41,63.9
2010/11/26,63.9,2386740,64.33,64.34,63.87
2010/11/29,64.01,5781879,63.76,64.14,63.43
2010/11/30,64.63,11252060,64.05,64.86,63.7701
2010/12/01,65.63,9970540,64.79,65.72,64.59
2010/12/02,65.2,8829565,65.5,65.56,64.76
2010/12/03,65.17,5650053,65.08,65.63,65.03
2010/12/06,64.73,4500122,65.16,65.17,64.68
2010/12/07,64.68,5630074,64.98,65.07,64.61
2010/12/08,64.63,5431528,64.8,64.88,64.47
2010/12/09,64.72,6173376,64.79,64.79,64.28
2010/12/10,64.9,5425322,64.84,65,64.59
2010/12/13,65.53,9261578,65.06,65.72,64.8
2010/12/14,65.59,5751529,65.64,65.87,65.33
2010/12/15,65.24,4524978,65.37,65.48,65.0975
2010/12/16,65.75,4829146,65.24,65.79,65.19
2010/12/17,65.97,7333635,65.73,66,65.46
2010/12/20,66.31,5549487,65.82,66.35,65.75
2010/12/21,65.4,7830706,66.37,66.51,65.12
2010/12/22,65.68,3977497,65.46,65.72,65.21
2010/12/23,65.69,3297321,65.65,65.92,65.51
2010/12/27,65.42,2352712,65.64,65.71,65.41
2010/12/28,65.28,3071129,65.2,65.53,65.18
2010/12/29,65.33,3248564,65.44,65.77,65.33
2010/12/30,65.12,3507205,65.31,65.62,65.09
2010/12/31,65.33,2977310,65.05,65.55,65.03
2011/01/03,65.75,6786249,65.91,66.09,65.6
2011/01/04,65.41,7896861,66.1,66.19,65.12
2011/01/05,66.59,10381810,65.71,66.88,65.56
2011/01/06,66.84,7648852,66.71,66.95,66.38
2011/01/07,66.39,4899020,66.82,66.82,66.25
2011/01/10,66.05,5220276,66.13,66.32,65.84
2011/01/11,66.33,4686366,66.34,66.75,66.01
2011/01/12,66.73,5263369,66.71,67.07,66.55
2011/01/13,66.91,7943000,66.7,67.46,66.65
2011/01/14,66.78,5986016,67.15,67.16,66.575
2011/01/18,66.57,6062858,66.46,67.15,66.4
2011/01/19,65.9,7872388,66.67,66.69,65.69
2011/01/20,65.9,7130944,65.94,66.33,65.81
2011/01/21,65.87,5564273,66.19,66.32,65.67
2011/01/24,66.18,4659321,65.79,66.18,65.6
2011/01/25,65.77,4986040,66.01,66.25,65.75
2011/01/26,65.86,6797500,65.89,66.04,65.52
2011/01/27,65.56,6819629,65.73,65.95,65.45
2011/01/28,64.4,10452040,65.45,65.84,64.12
2011/01/31,64.31,8664283,64.35,64.68,64.09
2011/02/01,65.05,7134139,64.53,65.14,64.3
2011/02/02,64.65,8220917,64.44,64.865,64.04
2011/02/03,64.18,6693226,64.51,64.68,64.01
2011/02/04,63.84,8423632,64.15,64.2761,63.66
2011/02/07,63.68,8157867,63.95,63.98,63.26
2011/02/08,64.17,6064771,63.62,64.27,63.51
2011/02/09,64.42,6131994,64.38,64.76,63.97
2011/02/10,63.36,15759270,63.48,64.19,62.94
2011/02/11,63.87,9016014,62.62,64.02,62.56
2011/02/14,63.34,9109757,63.96,64.33,63.165
2011/02/15,64.35,9479969,63.29,64.45,63.055
2011/02/16,63.96,8043295,64.09,64.48,63.84
2011/02/17,64.7,10850890,63.28,64.71,63.22
2011/02/18,63.41,14022380,64.51,64.51,63.2
2011/02/22,63.15,9626361,62.66,63.53,62.57
2011/02/23,62.93,9527379,63.2,63.77,62.9
2011/02/24,63.03,9121278,62.85,63.2,62.7099
2011/02/25,63.6,6523267,62.99,63.89,62.89
2011/02/28,63.42,8022608,63.78,63.96,63.37
2011/03/01,63.21,8084116,63.69,63.95,63.19
2011/03/02,62.94,7061602,62.95,62.99,62.54
2011/03/03,63.75,8446481,63.19,63.98,63
2011/03/04,63.4,7659234,63.78,63.865,63.03
2011/03/07,63.47,7020739,63.43,63.59,63.2
2011/03/08,63.79,7523588,63.31,63.9,63.31
2011/03/09,64.65,7738869,63.7,64.83,63.5614
2011/03/10,64.43,8665535,64.34,64.86,64.12
2011/03/11,64.65,6876335,64.61,64.89,64.33
2011/03/14,64.14,5894270,64.26,64.43,63.59
2011/03/15,63.01,8736785,63.44,63.64,62.7
2011/03/16,62.31,8405070,62.89,62.92,62.05
2011/03/17,63.08,6756760,62.91,63.26,62.56
2011/03/18,63.24,8437170,63.49,63.61,62.9
2011/03/21,64.1,6511626,63.85,64.3,63.5
2011/03/22,63.94,5040925,64.015,64.05,63.83
2011/03/23,64.2,3900907,63.95,64.36,63.75
2011/03/24,64.2,4151021,64.36,64.48,64.17
2011/03/25,63.98,5045538,64.19,64.47,63.95
2011/03/28,64.34,4967004,64.02,64.76,63.98
2011/03/29,64.16,5167862,64.41,64.61,64.03
2011/03/30,65.05,5791175,64.6,65.33,64.43
2011/03/31,64.41,7407699,65.09,65.23,64.35
2011/04/01,65.22,6343371,64.87,65.42,64.47
2011/04/04,65.09,4210346,64.93,65.12,64.86
2011/04/05,65.58,5764867,64.99,65.69,64.92
2011/04/06,65.75,3811218,65.51,65.88,65.51
2011/04/07,65.92,6112381,65.59,66.04,65.55
2011/04/08,65.73,4078112,65.76,66,65.35
2011/04/11,66.04,4381534,65.71,66.35,65.67
2011/04/12,66.57,7474973,65.78,66.71,65.56
2011/04/13,66.45,4206427,66.58,66.83,66.32
2011/04/14,66.7,4175951,66.34,66.87,66.12
2011/04/15,67.11,5378090,66.69,67.14,66.4401
2011/04/18,67.15,5664010,66.73,67.33,66.44
2011/04/19,66.81,4975665,67.25,67.25,66.5
2011/04/20,67.33,4293628,67.26,67.4899,66.98
2011/04/21,67.41,3882141,67.53,67.53,67.05
2011/04/25,67.03,4193854,67.15,67.27,66.8378
2011/04/26,67.71,6553179,66.89,67.85,66.85
2011/04/27,67.93,5936780,67.73,68.25,67.66
2011/04/28,69.72,12732580,67.93,69.92,67.87
2011/04/29,68.89,8021262,69.62,69.94,68.65
2011/05/02,69.31,6232197,69.24,69.48,69.03
2011/05/03,69.59,6108412,68.88,69.59,68.88
2011/05/04,69.83,8123650,69.54,69.93,69.3
2011/05/05,68.83,7644766,69.4,69.69,68.46
2011/05/06,69.27,6799564,69.65,69.95,69.175
2011/05/09,69.82,5762276,69.64,69.98,69.48
2011/05/10,70.03,6122415,69.81,70.12,69.81
2011/05/11,70.2,6165366,69.85,70.78,69.8
2011/05/12,70.96,6304617,70.33,71.05,69.96
2011/05/13,70.56,7503234,70.7,71.27,70.22
2011/05/16,70.72,5929209,70.41,71.09,70.3
2011/05/17,71.11,6458749,70.44,71.455,70.32
2011/05/18,71.27,5558897,70.98,71.3293,70.75
2011/05/19,71.78,5167047,71.34,71.89,71.17
2011/05/20,71.3,5920447,71.67,71.84,71.22
2011/05/23,71.04,5545747,70.92,71.34,70.78
2011/05/24,70.98,5259122,71.09,71.22,70.66
2011/05/25,70.45,5938075,70.62,70.87,70.24
2011/05/26,70.42,5901522,70.34,70.59,69.85
2011/05/27,70.4,4357974,70.61,71.03,70.28
2011/05/31,71.12,6547040,70.72,71.12,70.61
2011/06/01,70.29,7748236,70.58,70.87,70.28
2011/06/02,69.51,6119949,70.26,70.39,69.32
2011/06/03,68.97,5708331,68.97,69.35,68.71
2011/06/06,68.89,4932644,69.03,69.45,68.78
